title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,page_count,genres,source,description
Clean Code,Clean Code,Robert C. Martin,4.4634147,41,https://covers.openlibrary.org/b/id/8065615-L.jpg,https://openlibrary.org/works/OL17618370W,444,"Agile software development, Reliability, Computer software, Computer software, development, Coding theory",open_library_api,
Code Complete,Code Complete,Steve McConnell,4.25,24,https://covers.openlibrary.org/b/id/461500-L.jpg,https://openlibrary.org/works/OL2722063W,914,"Development, Programmeren (computers), Programmatuurtechniek, Handbooks, manuals, Computer software",open_library_api,"Take a strategic approach to software construction—and produce superior products—with this fully updated edition of Steve McConnell's critically praised and award-winning guide to software development best practices. Widely considered one of the best practical guides to programming, Steve McConnell's original CODE COMPLETE has been helping developers write better software for more than a decade. Now this classic book has been fully updated and revised with leading-edge practices—and hundreds of new code samples—illustrating the art and science of software construction. Capturing the body of knowledge available from research, academia, and everyday commercial practice, McConnell synthesizes the most effective techniques and must-know principles into clear, pragmatic guidance. No matter what your experience level, development environment, or project size, this book will inform and stimulate your thinking—and help you build the highest quality code.Discover the timeless techniques and strategies that help you:Design for minimum complexity and maximum creativityReap the benefits of collaborative developmentApply defensive programming techniques to reduce and flush out errorsExploit opportunities to refactor—or evolve—code, and do it safelyUse construction practices that are right-weight for your projectDebug problems quickly and effectivelyResolve critical construction issues early and correctlyBuild quality into the beginning, middle, and end of your project"
Clean Architecture,Clean Architecture,Robert C. Martin,3.8,10,https://covers.openlibrary.org/b/id/8605114-L.jpg,https://openlibrary.org/works/OL19809141W,432,"Development, Software architecture, Computer software, Computer programming, History",open_library_api,
Domain-Driven Design,Domain-Driven Design,Eric Evans,4.25,8,https://covers.openlibrary.org/b/id/5548424-L.jpg,https://openlibrary.org/works/OL4464385W,529,"Development, Computer software, Object-oriented programming (Computer science), Computer software, development, Computer software--development",open_library_api,
Designing Data-Intensive Applications,Designing Data-Intensive Applications,Martin Kleppmann,5.0,3,https://covers.openlibrary.org/b/id/8434671-L.jpg,https://openlibrary.org/works/OL19293745W,618,"Development, Web site development, Application software, Database management, Databases",open_library_api,"Data is at the center of many challenges in system design today. Difficult issues need to be figured out, such as scalability, consistency, reliability, efficiency, and maintainability. In addition, we have an overwhelming variety of tools, including relational databases, NoSQL datastores, stream or batch processors, and message brokers. What are the right choices for your application? How do you make sense of all these buzzwords?

In this practical and comprehensive guide, author Martin Kleppmann helps you navigate this diverse landscape by examining the pros and cons of various technologies for processing and storing data. Software keeps changing, but the fundamental principles remain the same. With this book, software engineers and architects will learn how to apply those ideas in practice, and how to make full use of data in modern applications.

Peer under the hood of the systems you already use, and learn how to use and operate them more effectively. Make informed decisions by identifying the strengths and weaknesses of different tools. Navigate the trade-offs around consistency, scalability, fault tolerance, and complexity. Understand the distributed systems research upon which modern databases are built. Peek behind the scenes of major online services, and learn from their architectures"
The Cathedral and the Bazaar,The Cathedral and the Bazaar,Eric S. Raymond,4.2222223,18,https://covers.openlibrary.org/b/id/805932-L.jpg,https://openlibrary.org/works/OL6036025W,256,"Development, Computer hackers, open source development, open source, Open source software",open_library_api,"Open source provides the competitive advantage in the Internet Age. According to the August Forrester Report, 56 percent of IT managers interviewed at Global 2,500 companies are already using some type of open source software in their infrastructure and another 6 percent will install it in the next two years. This revolutionary model for collaborative software development is being embraced and studied by many of the biggest players in the high-tech industry, from Sun Microsystems to IBM to Intel.The Cathedral & the Bazaar is a must for anyone who cares about the future of the computer industry or the dynamics of the information economy. Already, billions of dollars have been made and lost based on the ideas in this book. Its conclusions will be studied, debated, and implemented for years to come. According to Bob Young, ""This is Eric Raymond's great contribution to the success of the open source revolution, to the adoption of Linux-based operating systems, and to the success of open source users and the companies that supply them.""The interest in open source software development has grown enormously in the past year. This revised and expanded paperback edition includes new material on open source developments in 1999 and 2000. Raymond's clear and effective writing style accurately describing the benefits of open source software has been key to its success. With major vendors creating acceptance for open source within companies, independent vendors will become the open source story in 2001."
Object-Oriented Software Engineering,Object-Oriented Software Engineering,Ivar Jacobson,5.0,3,https://covers.openlibrary.org/b/id/135140-L.jpg,https://openlibrary.org/works/OL1953422W,524,"Development, Computer software, Object-oriented programming (Computer science), Software engineering",open_library_api,
Continuous Delivery,Continuous Delivery,Jez Humble,4.4,5,https://covers.openlibrary.org/b/id/6998977-L.jpg,https://openlibrary.org/works/OL16420058W,498,"Development, Reliability, Testing, Computer software, Computer software, development",open_library_api,
Accelerate,Accelerate,Nicole Forsgren,3.2857144,14,https://covers.openlibrary.org/b/id/8509069-L.jpg,https://openlibrary.org/works/OL19542983W,288,"Software engineering, Teams, Leadership, Agile software development, Computer software industry",open_library_api,"This book goes into depth on research that shows how DevOps techniques can make technology organizations more effective. Fundamentally, they can help create generative team cultures which in turn leads to higher performance, better retention and better outcomes. The book shares multiple years of research from the State of DevOps reports."
Apprenticeship Patterns,Apprenticeship Patterns,Dave H. Hoover,3.4285715,7,https://covers.openlibrary.org/b/id/8618769-L.jpg,https://openlibrary.org/works/OL16245067W,139,"Vocational guidance, Computer software developers, Computer software, development",open_library_api,
