title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,page_count,genres,description,source
Front-End Developer,Front-End Developer,Dominic Myers,5.0,1,https://covers.openlibrary.org/b/id/12884620-L.jpg,https://openlibrary.org/works/OL21638091W,232,"Software Development, Programming, Software Architecture, Front-end Development","Even amazing products can be let down by poor user interfaces. It is the job of front-end developers to make the user-interface (front-end) of software products and websites usable, engaging and attractive. This book covers the role of front-end developer in terms of typical responsibilities, required skills and relevant tools, methods and techniques. Career progression for front-end developers is also discussed, with real life practical examples and code snippets used throughout the book to illustrate the topics.",open_library_api
Natural language processing and information retrieval,Natural language processing and information retrieval,Tanveer Siddiqui,5.0,2,https://covers.openlibrary.org/b/id/15099432-L.jpg,https://openlibrary.org/works/OL13650817W,406,"Natural language processing (Computer science), Computational linguistics, Information retrieval",No description available.,open_library_api
Black-box testing,Black-box testing,Boris Beizer,5.0,1,https://covers.openlibrary.org/b/id/300822-L.jpg,https://openlibrary.org/works/OL3523173W,307,"Computer software, Development, Testing, Computer software, development",No description available.,open_library_api
"Advances in Computers, Volume 49 (Advances in Computers)","Advances in Computers, Volume 49 (Advances in Computers)",Marvin V. Zelkowitz,5.0,2,https://covers.openlibrary.org/b/id/1094406-L.jpg,https://openlibrary.org/works/OL7938163W,345,"Computers, periodicals, Electronic data processing, Informatique, Computers, Ordinateurs",No description available.,open_library_api
Discrete mathematics,Discrete mathematics,Richard Johnsonbaugh,5.0,3,https://covers.openlibrary.org/b/id/90787-L.jpg,https://openlibrary.org/works/OL1920211W,687,"Computer science, Mathematics, Computer science, mathematics, Problems, exercises, Mathématiques",Knowledge about Discrete Maths,open_library_api
The Emperor's Nightingale: How the Emerging Dynamics of Corporate Complexity Will Restore Life in the New Millennium,The Emperor's Nightingale: How the Emerging Dynamics of Corporate Complexity Will Restore Life in the New Millennium,Robert A.G. Monks,5.0,2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677806165i/16359958._SY75_.jpg,https://www.goodreads.com/book/show/16359958-the-emperor-s-nightingale,410,General,No description available.,goodreads_scraped
Lean Software Development,Lean Software Development,Mary Poppendieck,5.0,2,https://covers.openlibrary.org/b/id/5547795-L.jpg,https://openlibrary.org/works/OL9188185W,222,"Agile software development, Software engineering, Systems management, Software Development, Computers",No description available.,open_library_api
Agile Project Management For Dummies,Agile Project Management For Dummies,Mark C. Layton,5.0,1,https://covers.openlibrary.org/b/id/7774239-L.jpg,https://openlibrary.org/works/OL17536293W,432,"Development, Agile software development, Management, Software engineering, Computer software",No description available.,open_library_api
Readings,Readings,Unknown Author,5.0,5,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL18825181M,410,"Computer algorithms., Data structures (Computer science)",No description available.,open_library_api
Invitation to Computer Science,Invitation to Computer Science,G. Michael Schneider,5.0,1,https://covers.openlibrary.org/b/id/8524066-L.jpg,https://openlibrary.org/works/OL1926026W,724,"Computer science, Java (Computer program language), C++ (Computer program language), General Theory of Computing, Computers - General Information",No description available.,open_library_api
Mechatronics,Mechatronics,W. Bolton,5.0,1,https://covers.openlibrary.org/b/id/86712-L.jpg,https://openlibrary.org/works/OL1658359W,574,"Mechatronics, Mechanical engineering, Software engineering, Electronic control, Automatic control",No description available.,open_library_api
Programming Logic and Design,Programming Logic and Design,Joyce Farrell,5.0,1,https://covers.openlibrary.org/b/id/4640333-L.jpg,https://openlibrary.org/works/OL3503669W,603,"Logic programming, Logic design, Programmierung, Software Engineering, Objektorientierte Programmierung",No description available.,open_library_api
Object-Oriented Software Engineering,Object-Oriented Software Engineering,Ivar Jacobson,5.0,3,https://covers.openlibrary.org/b/id/135140-L.jpg,https://openlibrary.org/works/OL1953422W,524,"Development, Computer software, Object-oriented programming (Computer science), Software engineering",No description available.,open_library_api
A discipline for software engineering,A discipline for software engineering,Watts S. Humphrey,5.0,1,https://covers.openlibrary.org/b/id/135146-L.jpg,https://openlibrary.org/works/OL3290287W,789,"Software engineering, Qa76.758 .h857 1995, 005.1","This new work from Watts Humphrey, author of the influential book, Managing the Software Process, broadens his orderly view of software process management, and lays the foundation for a disciplined approach to software engineering. In his earlier book, the author developed concrete methods for managing software development and maintenance.

These methods, now commonly practiced in industry, provide programmers and managers with specific steps they can take to evaluate and improve their software capabilities. In this new book, Humphrey scales those methods down to a personal level, helping software engineers develop the skills and habits needed to plan, track, and analyze large, complex projects.

.

Humphrey and others have used material from this book to train professionals and students around the world in a projects-oriented software engineering course. First establishing the need for discipline in software engineering, and the benefits to practitioners of learning how to manage their personal software process, Humphrey then develops a model that they can use to monitor, test, and improve their work.

Examples drawn from industry enhance the practical focus of the book, while project exercises give readers the opportunity to practice software process management as they learn it. Features: presents concepts and methods for a disciplined software engineering process; scales down industrial practices for planning, tracking, analysis, and defect management to fit the needs of small-scale program development; and shows how small project disciplines provide a solid base for larger projects.",open_library_api
Secrets of the JavaScript Ninja,Secrets of the JavaScript Ninja,John Resig,5.0,1,https://covers.openlibrary.org/b/id/8511696-L.jpg,https://openlibrary.org/works/OL19545500W,464,"JavaScript (Computer program language), Javascript (computer program language)",No description available.,open_library_api
Implementing lean software development,Implementing lean software development,Mary Poppendieck,5.0,1,https://covers.openlibrary.org/b/id/11951086-L.jpg,https://openlibrary.org/works/OL9188183W,304,"Development, Production management, Computer software, Computer software, development",No description available.,open_library_api
Software Testing,Software Testing,Brian Hambling,5.0,1,https://covers.openlibrary.org/b/id/9472671-L.jpg,https://openlibrary.org/works/OL16944106W,276,"Computer software, Computer software, testing, Study guides, Testing, Examinations",Annotation,open_library_api
Computer Engineering,Computer Engineering,Maria Johnsen,5.0,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1762164866i/243510246._SX50_.jpg,https://www.goodreads.com/book/show/243510246-computer-engineering,410,General,No description available.,goodreads_scraped
Coding Javascript Basics,Coding Javascript Basics,Adam Crute,5.0,1,https://covers.openlibrary.org/b/id/11006867-L.jpg,https://openlibrary.org/works/OL21104069W,128,"Javascript (computer program language), JavaScript (Computer program language)",No description available.,open_library_api
Beginning programming for dummies,Beginning programming for dummies,Wallace Wang,5.0,1,https://covers.openlibrary.org/b/id/520470-L.jpg,https://openlibrary.org/works/OL58316W,408,"Computer programming, QBasic (Computer program language), Computer Technology, Nonfiction, Computer programs","Discover the latest programming tips and techniquesStart writing programs for Windows, Linux, Macintosh, Palms, and PocketPCsReady to take control of your computer by writing your own programs? Mixing concepts with humor, author Wallace Wang shows you how to begin programming as simply and quickly as possible. In no time, you'll find out how to create and debug programs in Liberty BASIC, use algorithms, build interactive Web pages, and more!All this on the bonus CD-ROM Liberty BASIC and other compilers All the examples and code from the book IBM Robocode V1.0.6 JBuilder 9 Personal, C# Builder Personal, and Kylix Enterprise TrialSee the ""About the CD-ROM"" appendix for details and complete system requirements.Discover how to: Choose the best programming language for your project Work with data structures Install and use Liberty BASIC Create interactive Web sites  Program multiple platform devicesNote: CD-ROM/DVD and other supplementary materials are not included.",open_library_api
Usability engineering,Usability engineering,Jakob Nielsen,5.0,2,https://covers.openlibrary.org/b/id/80225-L.jpg,https://openlibrary.org/works/OL3522752W,358,"Development, User interfaces (Computer systems), Computer software, Computer software, development",No description available.,open_library_api
Learn to Program using Lazarus,Learn to Program using Lazarus,Howard Page-Clark,5.0,1,https://covers.openlibrary.org/b/id/7248467-L.jpg,https://openlibrary.org/works/OL16799439W,255,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development",No description available.,open_library_api
C programming,C programming,K. N. King,5.0,5,https://covers.openlibrary.org/b/id/252635-L.jpg,https://openlibrary.org/works/OL3233592W,832,"C (Computer program language), Computer programming",No description available.,open_library_api
Fluent Python,Fluent Python,Luciano Ramalho,5.0,5,https://covers.openlibrary.org/b/id/8743408-L.jpg,https://openlibrary.org/works/OL19932156W,821,"Python (Computer program language), Computer programming, Object-oriented programming languages, Object-oriented programming (computer science), Python (computer program language)",No description available.,open_library_api
Introducing Computers,Introducing Computers,Robert H. Blissmer,5.0,3,https://covers.openlibrary.org/b/id/4642108-L.jpg,https://openlibrary.org/works/OL3155000W,816,"Enable (computer program), Computers, Macintosh (computer), Basic (computer program language), Microsoft works (computer program)",No description available.,open_library_api
 Fundamentals of Data Structures in C++ 2nd Edition, Fundamentals of Data Structures in C++ 2nd Edition,Ellis Horowitz,5.0,3,https://covers.openlibrary.org/b/id/1672674-L.jpg,https://openlibrary.org/works/OL17362575W,694,"C++ (Computer program language), Data structures (Computer science), Programming Languages - General, Computer Books: Languages, Computers",No description available.,open_library_api
Secure software design,Secure software design,Theodor Richardson,5.0,1,https://covers.openlibrary.org/b/id/13496024-L.jpg,https://openlibrary.org/works/OL16190903W,412,"Development, Computer security, Computer software, Computer software, development",No description available.,open_library_api
Computer Science With C++ Class,Computer Science With C++ Class,Sumita Arora,5.0,2,https://covers.openlibrary.org/b/id/10865309-L.jpg,https://openlibrary.org/works/OL24341765W,410,"Computer, Program, C++ (Program computer)",No description available.,open_library_api
Android Programming,Android Programming,Bill Phillips,5.0,1,https://covers.openlibrary.org/b/id/7370198-L.jpg,https://openlibrary.org/works/OL17202810W,624,"Development, Application software, Android (Electronic resource), Android (electronic resource), Application software, development","These are the droids you're looking for. With our Android programming guide, based on our Android Fundamentals development bootcamp, you can hit the ground running on Android app development. This guide leads you through the wilderness using hands-on example apps, combined with clear explanations of key concepts and APIs. You will need Java expertise before you begin reading. Our top-notch Android instructors have put together a guide that focuses on practical techniques for developing apps compatible with Android 4.1 (Jelly Bean) through Android 5.1 (Lollipop) and beyond, including coverage of material design. Write and run code every step of the way, using Android Studio to create apps that integrate with other apps, download and display pictures from the web, play sounds, and more. Each chapter and app has been designed and tested to provide the knowledge and experience you need to get started in Android development. - Publisher.",open_library_api
Houghton Mifflin Reading Intervention,Houghton Mifflin Reading Intervention,Houghton Mifflin Company Staff,5.0,1,https://covers.openlibrary.org/b/id/12665233-L.jpg,https://openlibrary.org/works/OL27468236W,34,"Nonfiction, Reading (Elementary) -- Programmed instruction.",No description available.,open_library_api
How to Build a Billion Dollar App,How to Build a Billion Dollar App,George Berkowski,5.0,1,https://covers.openlibrary.org/b/id/8407360-L.jpg,https://openlibrary.org/works/OL19090197W,480,"Development, Application software, Internet software industry, Entrepreneurship, Computer software industry",No description available.,open_library_api
Java how to program--early objects,Java how to program--early objects,Paul J. Deitel,5.0,1,https://covers.openlibrary.org/b/id/15111749-L.jpg,https://openlibrary.org/works/OL19543270W,1250,"Java (computer program language), Computer programming, Object-oriented programming (computer science), Object-oriented programming (Computer science)",No description available.,open_library_api
"Python, The Complete Reference","Python, The Complete Reference",Martin C. Brown,5.0,1,https://covers.openlibrary.org/b/id/61313-L.jpg,https://openlibrary.org/works/OL725930W,1200,"Programming languages (Electronic computers), Python (computer program language)",No description available.,open_library_api
Python,Python,Mark Lutz,5.0,2,https://covers.openlibrary.org/b/id/988215-L.jpg,https://openlibrary.org/works/OL2784127W,158,"Python (Computer program language), Python (Langage de programmation), COMPUTERS, Programming Languages, Python","<p>Python is optimized for quality, productivity, portability, and integration. Hundreds of thousands of Python developers around the world rely on Python for general-purpose tasks, Internet scripting, systems programming, user interfaces, and product customization. Available on all major computing platforms, including commercial versions of Unix, Linux, Windows, and Mac OS X, Python is portable, powerful and remarkable easy to use. With its convenient, quick-reference format, <em>Python Pocket Reference</em>, 3rd Edition is the perfect on-the-job reference. More importantly, it's now been refreshed to cover the language's latest release, Python 2.4. For experienced Python developers, this book is a compact toolbox that delivers need-to-know information at the flip of a page. This third edition also includes an easy-lookup index to help developers find answers fast! Python 2.4 is more than just optimization and library enhancements; it's also chock full of bug fixes and upgrades. And these changes are addressed in the <em>Python Pocket Reference</em>, 3rd Edition. New language features, new and upgraded built-ins, and new and upgraded modules and packages—they're all clarified in detail. The <em>Python Pocket Reference</em>, 3rd Edition serves as the perfect companion to <em><a href=""/works/OL2784125W/"">Learning Python</a></em>
and <em>Programming Python</em>.</p>

<h2>Revision History</h2>
<dl>
<dt>October 1998</dt><dd>First Edition</dd> 
<dt>January 2002</dt><dd>Second Edition</dd> 
<dt>February 2005</dt><dd>Third Edition</dd> 
<dt>October 2009</dt><dd>Fourth Edition</dd> 
<dt></dt><dd>5th Edition</dd> 
<dt>2014-01-17</dt><dd>First release</dd> 
<dt>2014-02-14</dt><dd>Second release</dd> 
<dt>2015-02-06</dt><dd>Third release</dd> 
<dt>2018-08-10</dt><dd>Fourth release</dd>
<dt>2018-11-21</dt><dd>Fifth release</dd>
</dl>",open_library_api
Coding with JavaScript for dummies,Coding with JavaScript for dummies,Chris Minnick,5.0,1,https://covers.openlibrary.org/b/id/12961542-L.jpg,https://openlibrary.org/works/OL20001310W,368,"JavaScript (Computer program language), Javascript (computer program language)",No description available.,open_library_api
Learning Angular,Learning Angular,Aristeidis Bampakos,5.0,1,https://covers.openlibrary.org/b/id/13876480-L.jpg,https://openlibrary.org/works/OL27082711W,466,"Internet programming, Javascript (computer program language)",No description available.,open_library_api
