title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,page_count,genres,description,source,combined_text,cluster
প্রোগ্রামিং কনটেস্ট,প্রোগ্রামিং কনটেস্ট,মোঃ মাহবুবুল হাসান,5.0,2,https://covers.openlibrary.org/b/id/7912050-L.jpg,https://openlibrary.org/works/OL17639679W,276,"programming, algorithm, data stucture",বাংলা ভাষায় ডেটা স্ট্রাকচার ও অ্যালগরিদমের ওপর প্রথম বই।,open_library_api,"programming, algorithm, data stucture programming, algorithm, data stucture বাংলা ভাষায় ডেটা স্ট্রাকচার ও অ্যালগরিদমের ওপর প্রথম বই।",8
Coding Javascript Basics,Coding Javascript Basics,Adam Crute,5.0,1,https://covers.openlibrary.org/b/id/11006867-L.jpg,https://openlibrary.org/works/OL21104069W,128,"Javascript (computer program language), JavaScript (Computer program language)",No description available.,open_library_api,"Javascript (computer program language), JavaScript (Computer program language) Javascript (computer program language), JavaScript (Computer program language) No description available.",1
Learning Angular,Learning Angular,Aristeidis Bampakos,5.0,1,https://covers.openlibrary.org/b/id/13876480-L.jpg,https://openlibrary.org/works/OL27082711W,466,"Internet programming, Javascript (computer program language)",No description available.,open_library_api,"Internet programming, Javascript (computer program language) Internet programming, Javascript (computer program language) No description available.",1
Secrets of the JavaScript Ninja,Secrets of the JavaScript Ninja,John Resig,5.0,1,https://covers.openlibrary.org/b/id/8511696-L.jpg,https://openlibrary.org/works/OL19545500W,464,"JavaScript (Computer program language), Javascript (computer program language)",No description available.,open_library_api,"JavaScript (Computer program language), Javascript (computer program language) JavaScript (Computer program language), Javascript (computer program language) No description available.",1
A discipline for software engineering,A discipline for software engineering,Watts S. Humphrey,5.0,1,https://covers.openlibrary.org/b/id/135146-L.jpg,https://openlibrary.org/works/OL3290287W,789,"Software engineering, Qa76.758 .h857 1995, 005.1","This new work from Watts Humphrey, author of the influential book, Managing the Software Process, broadens his orderly view of software process management, and lays the foundation for a disciplined approach to software engineering. In his earlier book, the author developed concrete methods for managing software development and maintenance.

These methods, now commonly practiced in industry, provide programmers and managers with specific steps they can take to evaluate and improve their software capabilities. In this new book, Humphrey scales those methods down to a personal level, helping software engineers develop the skills and habits needed to plan, track, and analyze large, complex projects.

.

Humphrey and others have used material from this book to train professionals and students around the world in a projects-oriented software engineering course. First establishing the need for discipline in software engineering, and the benefits to practitioners of learning how to manage their personal software process, Humphrey then develops a model that they can use to monitor, test, and improve their work.

Examples drawn from industry enhance the practical focus of the book, while project exercises give readers the opportunity to practice software process management as they learn it. Features: presents concepts and methods for a disciplined software engineering process; scales down industrial practices for planning, tracking, analysis, and defect management to fit the needs of small-scale program development; and shows how small project disciplines provide a solid base for larger projects.",open_library_api,"Software engineering, Qa76.758 .h857 1995, 005.1 Software engineering, Qa76.758 .h857 1995, 005.1 This new work from Watts Humphrey, author of the influential book, Managing the Software Process, broadens his orderly view of software process management, and lays the foundation for a disciplined approach to software engineering. In his earlier book, the author developed concrete methods for managing software development and maintenance.

These methods, now commonly practiced in industry, provide programmers and managers with specific steps they can take to evaluate and improve their software capabilities. In this new book, Humphrey scales those methods down to a personal level, helping software engineers develop the skills and habits needed to plan, track, and analyze large, complex projects.

.

Humphrey and others have used material from this book to train professionals and students around the world in a projects-oriented software engineering course. First establishing the need for discipline in software engineering, and the benefits to practitioners of learning how to manage their personal software process, Humphrey then develops a model that they can use to monitor, test, and improve their work.

Examples drawn from industry enhance the practical focus of the book, while project exercises give readers the opportunity to practice software process management as they learn it. Features: presents concepts and methods for a disciplined software engineering process; scales down industrial practices for planning, tracking, analysis, and defect management to fit the needs of small-scale program development; and shows how small project disciplines provide a solid base for larger projects.",5
Programming Logic and Design,Programming Logic and Design,Joyce Farrell,5.0,1,https://covers.openlibrary.org/b/id/4640333-L.jpg,https://openlibrary.org/works/OL3503669W,603,"Logic programming, Logic design, Programmierung, Software Engineering, Objektorientierte Programmierung",No description available.,open_library_api,"Logic programming, Logic design, Programmierung, Software Engineering, Objektorientierte Programmierung Logic programming, Logic design, Programmierung, Software Engineering, Objektorientierte Programmierung No description available.",5
Readings,Readings,Unknown Author,5.0,5,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL18825181M,437,"Computer algorithms., Data structures (Computer science)",No description available.,open_library_api,"Computer algorithms., Data structures (Computer science) Computer algorithms., Data structures (Computer science) No description available.",8
Invitation to Computer Science,Invitation to Computer Science,G. Michael Schneider,5.0,1,https://covers.openlibrary.org/b/id/8524066-L.jpg,https://openlibrary.org/works/OL1926026W,724,"Computer science, Java (Computer program language), C++ (Computer program language), General Theory of Computing, Computers - General Information",No description available.,open_library_api,"Computer science, Java (Computer program language), C++ (Computer program language), General Theory of Computing, Computers - General Information Computer science, Java (Computer program language), C++ (Computer program language), General Theory of Computing, Computers - General Information No description available.",5
Python,Python,Mark Lutz,5.0,2,https://covers.openlibrary.org/b/id/988215-L.jpg,https://openlibrary.org/works/OL2784127W,158,"Python (Computer program language), Python (Langage de programmation), COMPUTERS, Programming Languages, Python","<p>Python is optimized for quality, productivity, portability, and integration. Hundreds of thousands of Python developers around the world rely on Python for general-purpose tasks, Internet scripting, systems programming, user interfaces, and product customization. Available on all major computing platforms, including commercial versions of Unix, Linux, Windows, and Mac OS X, Python is portable, powerful and remarkable easy to use. With its convenient, quick-reference format, <em>Python Pocket Reference</em>, 3rd Edition is the perfect on-the-job reference. More importantly, it's now been refreshed to cover the language's latest release, Python 2.4. For experienced Python developers, this book is a compact toolbox that delivers need-to-know information at the flip of a page. This third edition also includes an easy-lookup index to help developers find answers fast! Python 2.4 is more than just optimization and library enhancements; it's also chock full of bug fixes and upgrades. And these changes are addressed in the <em>Python Pocket Reference</em>, 3rd Edition. New language features, new and upgraded built-ins, and new and upgraded modules and packages—they're all clarified in detail. The <em>Python Pocket Reference</em>, 3rd Edition serves as the perfect companion to <em><a href=""/works/OL2784125W/"">Learning Python</a></em>
and <em>Programming Python</em>.</p>

<h2>Revision History</h2>
<dl>
<dt>October 1998</dt><dd>First Edition</dd> 
<dt>January 2002</dt><dd>Second Edition</dd> 
<dt>February 2005</dt><dd>Third Edition</dd> 
<dt>October 2009</dt><dd>Fourth Edition</dd> 
<dt></dt><dd>5th Edition</dd> 
<dt>2014-01-17</dt><dd>First release</dd> 
<dt>2014-02-14</dt><dd>Second release</dd> 
<dt>2015-02-06</dt><dd>Third release</dd> 
<dt>2018-08-10</dt><dd>Fourth release</dd>
<dt>2018-11-21</dt><dd>Fifth release</dd>
</dl>",open_library_api,"Python (Computer program language), Python (Langage de programmation), COMPUTERS, Programming Languages, Python Python (Computer program language), Python (Langage de programmation), COMPUTERS, Programming Languages, Python <p>Python is optimized for quality, productivity, portability, and integration. Hundreds of thousands of Python developers around the world rely on Python for general-purpose tasks, Internet scripting, systems programming, user interfaces, and product customization. Available on all major computing platforms, including commercial versions of Unix, Linux, Windows, and Mac OS X, Python is portable, powerful and remarkable easy to use. With its convenient, quick-reference format, <em>Python Pocket Reference</em>, 3rd Edition is the perfect on-the-job reference. More importantly, it's now been refreshed to cover the language's latest release, Python 2.4. For experienced Python developers, this book is a compact toolbox that delivers need-to-know information at the flip of a page. This third edition also includes an easy-lookup index to help developers find answers fast! Python 2.4 is more than just optimization and library enhancements; it's also chock full of bug fixes and upgrades. And these changes are addressed in the <em>Python Pocket Reference</em>, 3rd Edition. New language features, new and upgraded built-ins, and new and upgraded modules and packages—they're all clarified in detail. The <em>Python Pocket Reference</em>, 3rd Edition serves as the perfect companion to <em><a href=""/works/OL2784125W/"">Learning Python</a></em>
and <em>Programming Python</em>.</p>

<h2>Revision History</h2>
<dl>
<dt>October 1998</dt><dd>First Edition</dd> 
<dt>January 2002</dt><dd>Second Edition</dd> 
<dt>February 2005</dt><dd>Third Edition</dd> 
<dt>October 2009</dt><dd>Fourth Edition</dd> 
<dt></dt><dd>5th Edition</dd> 
<dt>2014-01-17</dt><dd>First release</dd> 
<dt>2014-02-14</dt><dd>Second release</dd> 
<dt>2015-02-06</dt><dd>Third release</dd> 
<dt>2018-08-10</dt><dd>Fourth release</dd>
<dt>2018-11-21</dt><dd>Fifth release</dd>
</dl>",8
"Python, The Complete Reference","Python, The Complete Reference",Martin C. Brown,5.0,1,https://covers.openlibrary.org/b/id/61313-L.jpg,https://openlibrary.org/works/OL725930W,1200,"Programming languages (Electronic computers), Python (computer program language)",No description available.,open_library_api,"Programming languages (Electronic computers), Python (computer program language) Programming languages (Electronic computers), Python (computer program language) No description available.",6
