title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,source,genres,page_count,description
Structure and Interpretation of Computer Programs,Structure and Interpretation of Computer Programs,Harold Abelson,4.47,4874,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347571961i/777411._SX50_.jpg,https://www.goodreads.com/book/show/777411.Structure_and_Interpretation_of_Computer_Programs,goodreads_scraped,"Computer programming, LISP (Computer program language), mirror, pdf.yt, Computer science",542,"> **Wizard Book** n. Hal Abelson's, Jerry Sussman's and Julie Sussman's Structure and Interpretation of Computer Programs (MIT Press, 1984; ISBN 0-262-01077-1), an excellent computer science text used in introductory courses at MIT. So called because of the wizard on the jacket. One of the bibles of the LISP/Scheme world. Also, less commonly, known as the Purple Book.

*from The New Hacker's Dictionary, 2nd edition (MIT Press, 1993)*"
Code Complete: A Practical Handbook of Software Construction,Code Complete: A Practical Handbook of Software Construction,Steve McConnell,4.3,9501,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396837641i/4845._SX50_.jpg,https://www.goodreads.com/book/show/4845.Code_Complete,goodreads_scraped,"Development, Programmeren (computers), Programmatuurtechniek, Handbooks, manuals, Computer software",914,"Take a strategic approach to software construction—and produce superior products—with this fully updated edition of Steve McConnell's critically praised and award-winning guide to software development best practices. Widely considered one of the best practical guides to programming, Steve McConnell's original CODE COMPLETE has been helping developers write better software for more than a decade. Now this classic book has been fully updated and revised with leading-edge practices—and hundreds of new code samples—illustrating the art and science of software construction. Capturing the body of knowledge available from research, academia, and everyday commercial practice, McConnell synthesizes the most effective techniques and must-know principles into clear, pragmatic guidance. No matter what your experience level, development environment, or project size, this book will inform and stimulate your thinking—and help you build the highest quality code.Discover the timeless techniques and strategies that help you:Design for minimum complexity and maximum creativityReap the benefits of collaborative developmentApply defensive programming techniques to reduce and flush out errorsExploit opportunities to refactor—or evolve—code, and do it safelyUse construction practices that are right-weight for your projectDebug problems quickly and effectivelyResolve critical construction issues early and correctlyBuild quality into the beginning, middle, and end of your project"
Introduction to Algorithms,Introduction to Algorithms,Thomas H. Cormen,4.35,9368,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390459484i/6752187._SX50_.jpg,https://www.goodreads.com/book/show/6752187-introduction-to-algorithms,goodreads_scraped,"Algorithms, Computer algorithms, Computer programming, open_syllabus_project, Programming",1292,"This book provides a comprehensive introduction to the modern study of computer algorithms. It presents many algorithms and covers them in considerable depth, yet makes their design and analysis accessible to all levels of readers. We have tried to keep explanations elementary without sacrificing depth of coverage or mathematical rigor. Each chapter presents an algorithm, a design technique, an application area, or a related topic. Algorithms are described in English and in a ""pseudocode"" designed to be readable by anyone who has done a little programming. The book contains over 260 figrues illustrating how the algorithms work. Since we emphasize efficiency as a design criterion, we include careful analyses of the running times of all our algorithms. The text is intended primarily for use in undergraduate or graduate courses in algorithms or data structures. Because it discusses engineering issues in algorithm design, as well as mathematical aspects, it is equally well suited for self-study by technical professionals. --"
"Design Patterns: Elements of Reusable Object-oriented Software / Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development, 2 Volume Set","Design Patterns: Elements of Reusable Object-oriented Software / Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development, 2 Volume Set",Erich Gamma,4.2,12006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180662124i/1062814._SX50_.jpg,https://www.goodreads.com/book/show/1062814.Design_Patterns,goodreads_scraped,,,
Hacker's Delight,Hacker's Delight,Henry S. Warren Jr.,4.2,1139,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385216522i/276079._SY75_.jpg,https://www.goodreads.com/book/show/276079.Hacker_s_Delight,goodreads_scraped,"Computer programming, Computer hackers, Hackers, Qa76.6 .w375 2013, 005.1",320,"""This is a collection of small programming tricks that I have come across over many years. Most of them will work only on computers that represent integers in two's-complement form. Although a 32-bit machine is assumed when register length is relevant, most of the tricks are easily adapted to machines with other register sizes.""

""This book does not deal with large tricks such as sophisticated sorting and compiler optimization techniques. Rather, it deals with small tricks that usually involve individual computer words or instructions, such as counting the number of 1-bits in a word. Such tricks often use a mixture of arithmetic and logical instructions.""  -- From the preface."
Refactoring: Improving the Design of Existing Code,Refactoring: Improving the Design of Existing Code (Addison-wesley Object Technology Series),Martin Fowler,4.24,8861,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925632i/44936._SX50_.jpg,https://www.goodreads.com/book/show/44936.Refactoring,goodreads_scraped,"Software refactoring, Object-oriented programming (Computer science)",0,
"The Art of Computer Programming, Volumes 1-4A Boxed Set","The Art of Computer Programming, Volumes 1-4A Boxed Set",Donald Ervin Knuth,4.75,237,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347464918i/9410434._SX50_.jpg,https://www.goodreads.com/book/show/9410434-the-art-of-computer-programming-volumes-1-4a-boxed-set,goodreads_scraped,,,
The Algorithm Design Manual,The Algorithm Design Manual,Steven S. Skiena,4.35,2690,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388183113i/425208._SX50_.jpg,https://www.goodreads.com/book/show/425208.The_Algorithm_Design_Manual,goodreads_scraped,"Computer algorithms, Qa76.9.a43 s55 2008, 005.1",748,CD-ROM contains: Hypertext version of text -- Source code and URLs for all cited implementations -- Audio lectures on design and analysis of algorithms.
Programming Pearls,Programming Pearls,Jon L. Bentley,4.2,3225,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385191091i/52084._SX50_.jpg,https://www.goodreads.com/book/show/52084.Programming_Pearls,goodreads_scraped,,,
On Lisp: Advanced Techniques for Common Lisp,On Lisp: Advanced Techniques for Common Lisp,Paul    Graham,4.3,482,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388374030i/41803._SY75_.jpg,https://www.goodreads.com/book/show/41803.On_Lisp,goodreads_scraped,"COMMON LISP (Computer program language), macros, bottom-up programming, Lisp (computer program language)",413,"The title itself, ""On Lisp"", is a reference to the idea that you can solve a programming problem by first building a programming language that lets you talk about your programming problem easier. In Lisp the programmer builds this problem specific language on top of Lisp itself using basic Lisp constructs called ""macros"". This style of programming is called ""bottom-up programming"".

On Lisp is especially known for the complete description of Common Lisp macros and their uses, but the book also covers many other aspects of bottom-up programming in Common Lisp."
