title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,source
Structure and Interpretation of Computer Programs,Structure and Interpretation of Computer Programs,Harold Abelson,4.47,4874,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347571961i/777411._SX50_.jpg,https://www.goodreads.com/book/show/777411.Structure_and_Interpretation_of_Computer_Programs,goodreads_scraped
Code Complete: A Practical Handbook of Software Construction,Code Complete: A Practical Handbook of Software Construction,Steve McConnell,4.3,9501,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396837641i/4845._SX50_.jpg,https://www.goodreads.com/book/show/4845.Code_Complete,goodreads_scraped
Introduction to Algorithms,Introduction to Algorithms,Thomas H. Cormen,4.35,9368,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390459484i/6752187._SX50_.jpg,https://www.goodreads.com/book/show/6752187-introduction-to-algorithms,goodreads_scraped
"Design Patterns: Elements of Reusable Object-oriented Software / Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development, 2 Volume Set","Design Patterns: Elements of Reusable Object-oriented Software / Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development, 2 Volume Set",Erich Gamma,4.2,12006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180662124i/1062814._SX50_.jpg,https://www.goodreads.com/book/show/1062814.Design_Patterns,goodreads_scraped
Hacker's Delight,Hacker's Delight,Henry S. Warren Jr.,4.2,1139,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385216522i/276079._SY75_.jpg,https://www.goodreads.com/book/show/276079.Hacker_s_Delight,goodreads_scraped
Refactoring: Improving the Design of Existing Code,Refactoring: Improving the Design of Existing Code (Addison-wesley Object Technology Series),Martin Fowler,4.24,8861,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925632i/44936._SX50_.jpg,https://www.goodreads.com/book/show/44936.Refactoring,goodreads_scraped
"The Art of Computer Programming, Volumes 1-4A Boxed Set","The Art of Computer Programming, Volumes 1-4A Boxed Set",Donald Ervin Knuth,4.75,237,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347464918i/9410434._SX50_.jpg,https://www.goodreads.com/book/show/9410434-the-art-of-computer-programming-volumes-1-4a-boxed-set,goodreads_scraped
The Algorithm Design Manual,The Algorithm Design Manual,Steven S. Skiena,4.35,2690,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388183113i/425208._SX50_.jpg,https://www.goodreads.com/book/show/425208.The_Algorithm_Design_Manual,goodreads_scraped
Programming Pearls,Programming Pearls,Jon L. Bentley,4.2,3225,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385191091i/52084._SX50_.jpg,https://www.goodreads.com/book/show/52084.Programming_Pearls,goodreads_scraped
On Lisp: Advanced Techniques for Common Lisp,On Lisp: Advanced Techniques for Common Lisp,Paul    Graham,4.3,482,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388374030i/41803._SY75_.jpg,https://www.goodreads.com/book/show/41803.On_Lisp,goodreads_scraped
Scratch 2.0 Programming,Scratch 2.0 Programming,Denis Golikov,4.36,58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423263665i/24855246._SX50_.jpg,https://www.goodreads.com/book/show/24855246-scratch-2-0-programming,goodreads_scraped
Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Aditya Y. Bhargava,4.41,5548,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458747997i/22847284._SX50_.jpg,https://www.goodreads.com/book/show/22847284-grokking-algorithms-an-illustrated-guide-for-programmers-and-other-curio,goodreads_scraped
Practical Common Lisp,Practical Common Lisp,Peter Seibel,4.15,790,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347722574i/570933._SX50_.jpg,https://www.goodreads.com/book/show/570933.Practical_Common_Lisp,goodreads_scraped
Programming Ruby: The Pragmatic Programmers' Guide,Programming Ruby: The Pragmatic Programmers' Guide,Dave         Thomas,4.04,1982,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436620106i/515._SX50_.jpg,https://www.goodreads.com/book/show/515.Programming_Ruby,goodreads_scraped
Accelerated C++: Practical Programming by Example,Accelerated C++: Practical Programming by Example,Mike Hendrickson,4.06,728,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348015499i/742586._SX50_.jpg,https://www.goodreads.com/book/show/742586.Accelerated_C_,goodreads_scraped
The Practice of Programming,The Practice of Programming (Addison-Wesley Professional Computing Series),Brian W. Kernighan,4.12,1939,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348418051i/1032758._SX50_.jpg,https://www.goodreads.com/book/show/1032758.The_Practice_of_Programming,goodreads_scraped
The Little Schemer,The Little Schemer,Daniel P. Friedman,4.29,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347456079i/548914._SX50_.jpg,https://www.goodreads.com/book/show/548914.The_Little_Schemer,goodreads_scraped
Com+ Programming: A Practical Guide Using Visual C++ and Atl,Com+ Programming: A Practical Guide Using Visual C++ and Atl (Hewlett-Packard Professional Books),Pradeep Tapadiya,3.33,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348579797i/2068596._SX50_.jpg,https://www.goodreads.com/book/show/2068596.Com_Programming,goodreads_scraped
Land of Lisp,Land of Lisp,Conrad Barski,4.16,677,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403198191i/6905041._SX50_.jpg,https://www.goodreads.com/book/show/6905041-land-of-lisp,goodreads_scraped
The Rails Way,The Rails Way,Obie Fernandez,3.86,273,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391053151i/335813._SX50_.jpg,https://www.goodreads.com/book/show/335813.The_Rails_Way,goodreads_scraped
Working Effectively with Legacy Code,Working Effectively with Legacy Code,Michael C. Feathers,4.14,4685,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348627451i/44919._SX50_.jpg,https://www.goodreads.com/book/show/44919.Working_Effectively_with_Legacy_Code,goodreads_scraped
The Little LISPer,The Little LISPer,Daniel P. Friedman,4.29,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348716932i/734117._SX50_.jpg,https://www.goodreads.com/book/show/734117.The_Little_LISPer,goodreads_scraped
